[notepad.exe] 0x2494c , 0x24951 [notepad.exe]
[notepad.exe] 0x24951 , 0x2495c [notepad.exe]
[notepad.exe] 0x23d0d , 0x23d19 [notepad.exe]
[notepad.exe] 0x24520 , 0x24529 [notepad.exe]
[notepad.exe] 0x244c8 , 0x244ed [notepad.exe]
[notepad.exe] 0x244ed , 0x244f5 [notepad.exe]
[notepad.exe] 0x24e58 , 0x24e5e [notepad.exe]
[ucrtbase.dll] 0x17b70 , 0x17b78 [ucrtbase.dll]
[ucrtbase.dll] 0x17b38 , 0x17b46 [ucrtbase.dll]
[ucrtbase.dll] 0x17b46 , 0x17b4f [ucrtbase.dll]
[ucrtbase.dll] 0x21940 , 0x2194f [ucrtbase.dll]
[ucrtbase.dll] 0x125f0 , 0x1261c [ucrtbase.dll]
[ucrtbase.dll] 0x1261c , 0x12647 [ucrtbase.dll]
[ucrtbase.dll] 0x12647 , 0x12650 [ucrtbase.dll]
[ucrtbase.dll] 0x12650 , 0x12658 [ucrtbase.dll]
[ucrtbase.dll] 0x12658 , 0x12663 [ucrtbase.dll]
[ucrtbase.dll] 0x12663 , 0x12690 [ucrtbase.dll]
[ucrtbase.dll] 0x126a0 , 0x126d2 [ucrtbase.dll]
[ntdll.dll] 0x2faa0 , 0x2fab9 [ntdll.dll]
[ntdll.dll] 0x2fab9 , 0x2facb [ntdll.dll]
[ucrtbase.dll] 0x126d2 , 0x126db [ucrtbase.dll]
[ucrtbase.dll] 0x12710 , 0x12735 [ucrtbase.dll]
[ucrtbase.dll] 0x12735 , 0x12768 [ucrtbase.dll]
[ucrtbase.dll] 0x1280a , 0x12835 [ucrtbase.dll]
[ucrtbase.dll] 0x12835 , 0x12844 [ucrtbase.dll]
[ucrtbase.dll] 0x12494 , 0x124b6 [ucrtbase.dll]
[ucrtbase.dll] 0x124b6 , 0x124c8 [ucrtbase.dll]
[ucrtbase.dll] 0x124c8 , 0x124cd [ucrtbase.dll]
[ucrtbase.dll] 0x124cd , 0x124de [ucrtbase.dll]
[ucrtbase.dll] 0x11660 , 0x11675 [ucrtbase.dll]
[ucrtbase.dll] 0x116ad , 0x116b5 [ucrtbase.dll]
[ucrtbase.dll] 0xfdb0 , 0xfdbe [ucrtbase.dll]
[ucrtbase.dll] 0xfdbe , 0xfde6 [ucrtbase.dll]
[ntdll.dll] 0x2a9a0 , 0x2a9c0 [ntdll.dll]
[ntdll.dll] 0x2a9c0 , 0x2a9d2 [ntdll.dll]
[ntdll.dll] 0x2a9d2 , 0x2a9db [ntdll.dll]
[ntdll.dll] 0x2a9db , 0x2a9f2 [ntdll.dll]
[ntdll.dll] 0x2aa20 , 0x2aa5f [ntdll.dll]
[ntdll.dll] 0x2b26b , 0x2b28b [ntdll.dll]
[ntdll.dll] 0x2b297 , 0x2b29f [ntdll.dll]
[ntdll.dll] 0x2b29f , 0x2b2a8 [ntdll.dll]
[ntdll.dll] 0x2b2a8 , 0x2b2b7 [ntdll.dll]
[ntdll.dll] 0x2b2b7 , 0x2b2c3 [ntdll.dll]
[ntdll.dll] 0x2b2f9 , 0x2b30b [ntdll.dll]
[ntdll.dll] 0x2b358 , 0x2b37e [ntdll.dll]
[ntdll.dll] 0x2b37e , 0x2b387 [ntdll.dll]
[ntdll.dll] 0x2b387 , 0x2b3a3 [ntdll.dll]
[ntdll.dll] 0x2b3a3 , 0x2b3c7 [ntdll.dll]
[ntdll.dll] 0x2b650 , 0x2b6a1 [ntdll.dll]
[ntdll.dll] 0x2b6e9 , 0x2b719 [ntdll.dll]
[ntdll.dll] 0x2b719 , 0x2b745 [ntdll.dll]
[ntdll.dll] 0x2b745 , 0x2b769 [ntdll.dll]
[ntdll.dll] 0x2b769 , 0x2b78e [ntdll.dll]
[ntdll.dll] 0x2b78e , 0x2b793 [ntdll.dll]
[ntdll.dll] 0x2b793 , 0x2b7a4 [ntdll.dll]
[ntdll.dll] 0x2b7da , 0x2b7df [ntdll.dll]
[ntdll.dll] 0x2b7df , 0x2b7e8 [ntdll.dll]
[ntdll.dll] 0x2b7e8 , 0x2b7ed [ntdll.dll]
[ntdll.dll] 0x2b7ed , 0x2b7f2 [ntdll.dll]
[ntdll.dll] 0x2b7f2 , 0x2b832 [ntdll.dll]
[ntdll.dll] 0x2b832 , 0x2b86b [ntdll.dll]
[ntdll.dll] 0x43d0 , 0x43fa [ntdll.dll]
[ntdll.dll] 0x43fa , 0x4405 [ntdll.dll]
[ntdll.dll] 0x4405 , 0x4419 [ntdll.dll]
[ntdll.dll] 0x4419 , 0x447a [ntdll.dll]
[ntdll.dll] 0x2b86b , 0x2b8aa [ntdll.dll]
[ntdll.dll] 0x2b8aa , 0x2b8b5 [ntdll.dll]
[ntdll.dll] 0x2b8b5 , 0x2b8ba [ntdll.dll]
[ntdll.dll] 0x2b8ba , 0x2b8c4 [ntdll.dll]
[ntdll.dll] 0x2b8c4 , 0x2b8de [ntdll.dll]
[ntdll.dll] 0x2b8de , 0x2b8fb [ntdll.dll]
